"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2019/01/01 09:00:00","NORTH","639","14"
"2019/01/01 09:00:00","WEST","1554","14"
"2019/01/01 10:00:00","CAPITL","1251","15"
"2019/01/01 10:00:00","CENTRL","1646","15"
"2019/01/01 10:00:00","DUNWOD","555","15"
"2019/01/01 10:00:00","GENESE","1001","15"
"2019/01/01 10:00:00","HUD VL","966","15"
"2019/01/01 10:00:00","LONGIL","1893","15"
"2019/01/01 10:00:00","MHK VL","732","15"
"2019/01/01 10:00:00","MILLWD","273","15"
"2019/01/01 10:00:00","N.Y.C.","4862","15"
"2019/01/01 10:00:00","NORTH","643","15"
"2019/01/01 10:00:00","WEST","1607","15"
"2019/01/01 11:00:00","CAPITL","1280","16"
"2019/01/01 11:00:00","CENTRL","1692","16"
"2019/01/01 11:00:00","DUNWOD","565","16"
"2019/01/01 11:00:00","GENESE","1030","16"
"2019/01/01 11:00:00","HUD VL","980","16"
"2019/01/01 11:00:00","LONGIL","1926","16"
"2019/01/01 11:00:00","MHK VL","757","16"
"2019/01/01 11:00:00","MILLWD","273","16"
"2019/01/01 11:00:00","N.Y.C.","4975","16"
"2019/01/01 11:00:00","NORTH","649","16"
"2019/01/01 11:00:00","WEST","1638","16"
"2019/01/01 12:00:00","CAPITL","1290","17"
"2019/01/01 12:00:00","CENTRL","1706","17"
"2019/01/01 12:00:00","DUNWOD","575","17"
"2019/01/01 12:00:00","GENESE","1043","17"
"2019/01/01 12:00:00","HUD VL","989","17"
"2019/01/01 12:00:00","LONGIL","1969","17"
"2019/01/01 12:00:00","MHK VL","760","17"
"2019/01/01 12:00:00","MILLWD","275","17"
"2019/01/01 12:00:00","N.Y.C.","5058","17"
"2019/01/01 12:00:00","NORTH","653","17"
"2019/01/01 12:00:00","WEST","1653","17"
"2019/01/01 13:00:00","CAPITL","1289","18"
"2019/01/01 13:00:00","CENTRL","1701","18"
"2019/01/01 13:00:00","DUNWOD","581","18"
"2019/01/01 13:00:00","GENESE","1044","18"
"2019/01/01 13:00:00","HUD VL","991","18"
"2019/01/01 13:00:00","LONGIL","1994","18"
"2019/01/01 13:00:00","MHK VL","753","18"
"2019/01/01 13:00:00","MILLWD","276","18"
"2019/01/01 13:00:00","N.Y.C.","5096","18"
"2019/01/01 13:00:00","NORTH","651","18"
"2019/01/01 13:00:00","WEST","1662","18"
"2019/01/01 14:00:00","CAPITL","1285","19"
"2019/01/01 14:00:00","CENTRL","1697","19"
"2019/01/01 14:00:00","DUNWOD","588","19"
"2019/01/01 14:00:00","GENESE","1041","19"
"2019/01/01 14:00:00","HUD VL","990","19"
"2019/01/01 14:00:00","LONGIL","2018","19"
"2019/01/01 14:00:00","MHK VL","746","19"
"2019/01/01 14:00:00","MILLWD","279","19"
"2019/01/01 14:00:00","N.Y.C.","5127","19"
"2019/01/01 14:00:00","NORTH","650","19"
"2019/01/01 14:00:00","WEST","1667","19"
"2019/01/01 15:00:00","CAPITL","1299","20"
"2019/01/01 15:00:00","CENTRL","1712","20"
"2019/01/01 15:00:00","DUNWOD","593","20"
"2019/01/01 15:00:00","GENESE","1052","20"
"2019/01/01 15:00:00","HUD VL","1004","20"
"2019/01/01 15:00:00","LONGIL","2066","20"
