,Season,DayType,load_class,hour,load,sdh_total_load,p_total_load
46,April,Saturday,201,1,0.658,3558.652,0.00018490147392889218
47,April,Sunday,201,1,0.645,3349.986,0.00019253811806974717
48,May,Weekday,201,1,0.5768181818181818,4111.65,0.0001402887361079328
49,May,Saturday,201,1,0.5725,3818.648,0.00014992217140726247
50,May,Sunday,201,1,0.572,3416.2130000000006,0.00016743686649515116
51,June,Weekday,201,1,0.6399999999999999,4488.624181818182,0.00014258266543953758
52,June,Saturday,201,1,0.6174999999999999,4026.102,0.00015337415693889524
53,June,Sunday,201,1,0.625,3710.4145000000003,0.00016844479235406177
54,July,Weekday,201,1,0.7266666666666666,4526.849095238095,0.00016052372221355142
55,July,Saturday,201,1,0.714,4120.606,0.00017327548423702726
56,July,Sunday,201,1,0.718,3906.5400000000004,0.00018379435510707684
57,August,Weekday,201,1,0.6982608695652175,4426.559434782608,0.00015774347545827308
58,August,Saturday,201,1,0.655,4213.6050000000005,0.0001554488377529455
59,August,Sunday,201,1,0.65,3906.7625000000007,0.00016637817118394065
60,September,Weekday,201,1,0.6299999999999999,4163.980090909092,0.00015129755336136983
61,September,Saturday,201,1,0.615,3955.9659999999994,0.00015546139678652448
62,September,Sunday,201,1,0.6125,3575.4619999999995,0.00017130653325360474
63,October,Weekday,201,1,0.6366666666666667,3935.3936666666673,0.00016177966439782685
64,October,Saturday,201,1,0.6340000000000001,3566.9369999999994,0.0001777435373823536
65,October,Sunday,201,1,0.6340000000000001,3290.7490000000003,0.0001926613059823159
66,November,Weekday,201,1,0.6395454545454545,3802.774909090909,0.00016817862477649096
67,November,Saturday,201,1,0.635,3371.3680000000004,0.00018835084155749236
68,November,Sunday,201,1,0.635,3229.642,0.00019661621938282944
69,December,Weekday,201,1,0.7959090909090911,3701.4058181818186,0.0002150288647085049
70,December,Saturday,201,1,0.7739999999999999,3410.9649999999997,0.0002269152571193196
71,December,Sunday,201,1,0.77,3255.9925000000003,0.0002364870312201272
72,January,Weekday,301,1,52.802857142857135,4205.975476190477,0.012554247508519197
73,January,Saturday,301,1,55.827999999999996,3717.102,0.015019227344312854
74,January,Sunday,301,1,54.644000000000005,3461.8579999999993,0.01578458735164759
75,February,Weekday,301,1,52.755500000000005,4192.294,0.012583921833726358
76,February,Saturday,301,1,54.15,3781.853,0.014318377789935251
77,February,Sunday,301,1,53.7225,3536.9165000000003,0.015189077830929848
78,March,Weekday,301,1,47.33826086956522,4061.4103478260877,0.011655621278185672
79,March,Saturday,301,1,49.3075,3690.661,0.01336007289751077
80,March,Sunday,301,1,48.82,3425.4330000000004,0.0142522127859456
81,April,Weekday,301,1,42.65333333333333,4056.580095238096,0.010514604009274429
82,April,Saturday,301,1,44.178000000000004,3558.652,0.01241425123895228
83,April,Sunday,301,1,44.885000000000005,3349.986,0.013398563456683105
84,May,Weekday,301,1,41.462272727272726,4111.65,0.01008409585623113
85,May,Saturday,301,1,42.7075,3818.648,0.011183932114193296
86,May,Sunday,301,1,42.672000000000004,3416.2130000000006,0.012491024417973937
87,June,Weekday,301,1,45.714090909090906,4488.624181818182,0.010184432703067995
88,June,Saturday,301,1,45.5875,4026.102,0.011322986849314796
89,June,Sunday,301,1,46.410000000000004,3710.4145000000003,0.012508036501043212
90,July,Weekday,301,1,48.1142857142857,4526.849095238095,0.01062864802913318
91,July,Saturday,301,1,49.04,4120.606,0.011901162110621593
92,July,Sunday,301,1,49.071999999999996,3906.5400000000004,0.012561499434281996
93,August,Weekday,301,1,46.253913043478256,4426.559434782608,0.010449179260991854
94,August,Saturday,301,1,45.529999999999994,4213.6050000000005,0.010805474172353599
95,August,Sunday,301,1,45.212500000000006,3906.7625000000007,0.011572881637929104
96,September,Weekday,301,1,40.650909090909096,4163.980090909092,0.00976251283709526
97,September,Saturday,301,1,41.715,3955.9659999999994,0.010544832791788404
98,September,Sunday,301,1,41.682500000000005,3575.4619999999995,0.01165793399566266
99,October,Weekday,301,1,41.39190476190477,3935.3936666666673,0.010517856221729472
100,October,Saturday,301,1,43.589999999999996,3566.9369999999994,0.012220569076493363
101,October,Sunday,301,1,43.614,3290.7490000000003,0.013253517664215652
